model,condition,n_complete,n_tied,n_unanimous,repeat_alpha_complete,majority_accuracy_all,unanimous_wrong_rate,auc_majority_correct_complete,auc_ci_low,auc_ci_high,auc_bootstrap_defined,unanimous_wrong_ci_low,unanimous_wrong_ci_high,unanimous_wrong_bootstrap_defined
gpt4o_mini,zero_shot,600,0,584,0.9704816725684863,0.6316666666666667,0.3664383561643836,0.5039637531489154,0.490541492377045,0.5182153564192202,2000,0.3304082491582492,0.4040929039247262,2000
gpt4o_mini,persona_neutral,599,0,587,0.9775635319947656,0.6216666666666667,0.3798977853492334,0.49457282497805405,0.48431585964658613,0.5057717367960852,2000,0.3440571669870115,0.4184883318679101,2000
gpt4o_mini,persona_pro,598,0,570,0.9503728167509042,0.6266666666666667,0.3684210526315789,0.5057504312823462,0.48870355804465715,0.5250303198172744,2000,0.33099794035667596,0.40597539543058,2000
gpt4o_mini,persona_con,600,1,578,0.9547004539187423,0.585,0.40657439446366783,0.5167622055172256,0.5012153767359622,0.5325583671025971,2000,0.3717678689316955,0.44541667536697915,2000
qwen3_30b,zero_shot,600,0,572,0.9513465845924411,0.6433333333333333,0.34440559440559443,0.5254709215050118,0.5064407135427762,0.545299264529701,2000,0.3079477783923304,0.38313196940656324,2000
qwen3_30b,persona_neutral,598,0,584,0.9754132401396338,0.6133333333333333,0.375,0.5198369565217391,0.5060934340871784,0.5354197166913773,2000,0.3395635496059465,0.4126786841367057,2000
qwen3_30b,persona_pro,598,0,571,0.9543620099155229,0.6516666666666666,0.329246935201401,0.5356635407786303,0.5155287102638781,0.5573376654003601,2000,0.29266673861428877,0.3664950752899406,2000
qwen3_30b,persona_con,599,0,577,0.9590664176174359,0.6583333333333333,0.3292894280762565,0.5241871432117151,0.5057014409396567,0.5430303537042668,2000,0.29187715889464594,0.36860769350103817,2000
