model,condition,n_complete,n_unanimous,n_nonunanimous,n_wrong_complete,n_wrong_unanimous,n_wrong_nonunanimous,retained_fraction,error_complete,error_unanimous,error_nonunanimous,error_change_pp
gpt4o_mini,zero_shot,600,584,16,221,214,7,0.9733333333333334,0.36833333333333335,0.3664383561643836,0.4375,-0.1894977168949763
gpt4o_mini,persona_neutral,599,587,12,226,223,3,0.9799666110183639,0.3772954924874791,0.3798977853492334,0.25,0.2602292861754285
gpt4o_mini,persona_pro,598,570,28,222,210,12,0.9531772575250836,0.3712374581939799,0.3684210526315789,0.42857142857142855,-0.2816405562400981
gpt4o_mini,persona_con,600,578,22,249,235,14,0.9633333333333334,0.415,0.40657439446366783,0.6363636363636364,-0.8425605536332148
qwen3_30b,zero_shot,600,572,28,214,197,17,0.9533333333333334,0.3566666666666667,0.34440559440559443,0.6071428571428571,-1.226107226107226
qwen3_30b,persona_neutral,598,584,14,230,219,11,0.9765886287625418,0.38461538461538464,0.375,0.7857142857142857,-0.9615384615384637
qwen3_30b,persona_pro,598,571,27,207,188,19,0.9548494983277592,0.34615384615384615,0.329246935201401,0.7037037037037037,-1.690691095244512
qwen3_30b,persona_con,599,577,22,204,190,14,0.9632721202003339,0.34056761268781305,0.3292894280762565,0.6363636363636364,-1.1278184611556552
